point, temp, hum, 
강릉,15.4,33
강진군,13.7,69
강화,10.6,43
거제,14.4,53
거창,10.4,65
경주시,13.8,51
고산,15.1,62
고창,13.3,71
고창군,13.0,50
고흥,14.0,54
광양시,14.7,60
광주,12.9,79
구미,11.1,64
군산,10.0,99
금산,5.8,100
김해시,13.9,49
남원,9.7,75
남해,13.6,52
대관령,7.8,47
대구,13.5,56
대전,12.7,77
동두천,9.3,44
동해,15.5,32
목포,13.3,67
문경,12.8,57
밀양,12.9,57
백령도,14.6,36
보령,12.2,55
보성군,14.7,59
보은,9.9,76
봉화,10.5,62
부산,15.5,42
부안,12.0,75
부여,7.4,100
북강릉,13.8,35
북창원,14.9,52
북춘천,8.6,72
산청,11.0,64
상주,12.6,65
서귀포,17.0,52
서산,11.6,43
서울,10.8,57
성산,15.9,49
세종,10.5,71
속초,14.8,34
수원,10.7,62
순창군,8.0,100
순천,13.8,56
안동,9.0,67
양산시,15.4,46
양평,8.0,75
여수,13.3,64
영광군,13.1,70
영덕,14.3,39
영월,9.7,57
영주,9.7,62
영천,12.9,59
완도,14.3,61
울릉도,14.8,54
울산,14.9,45
울진,15.7,30
원주,9.4,61
의령군,12.7,59
의성,10.6,67
이천,9.8,73
인제,9.7,63
인천,9.5,43
임실,11.8,63
장수,11.5,38
장흥,13.5,66
전주,12.8,68
정선군,8.8,62
정읍,11.8,75
제주,17.9,53
제천,8.4,63
진도군,13.8,69
진주,12.8,57
창원,14.0,41
천안,11.1,54
철원,7.5,84
청송군,10.3,57
청주,10.2,66
추풍령,11.1,64
춘천,8.0,66
충주,8.8,73
태백,9.7,27
통영,14.8,52
파주,8.1,71
포항,14.2,52
함양군,11.6,53
합천,11.9,61
해남,12.7,72
홍성,11.3,58
홍천,7.6,68
흑산도,14.8,67
